DOCID|REFERENCE|ETABLISSEMENT|RESEAU|CONTACT|EMAILCONTACT|SITEWEB|TELEPHONE|FAX|HANDICAPS|CODEPOSTAL|ADRESSE|REGION|DEPARTEMENT|VILLE|ACTIVIT
80476|2013-05869|Chambres d'Hôtes Le Moulin de Montizeau|Tourisme et Handicap|M. et Mme Jullion|b.jullion@orange.fr|http://www.moulindemontizeau.fr|0546709450/0686149847||auditif ; mental ; moteur ; visuel|17520|Montizeau|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT MAIGRIN|Chambre d'hôtes
80477|2013-05870|Chambre d'hôtes La Clef des champs|Tourisme et Handicap|M. et Mme Gourmanel|contact@laclefdeschamps-17.com|http://www.laclefdeschamps-17.com|0546681003 ; 0686971291||auditif ; mental|17700|189 rue des Acacias|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT MARD|Chambre d'hôtes
80479|2013-05872|Ferme pédagogique Elevage d'oies Manicot|Tourisme et Handicap|M. et Mme Manicot|contact@manicot.fr; ferme@manicot.fr|http://www.manicot.fr|546495272|546495760|auditif ; mental ; visuel|17520|24/25 rue des Rigauds|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT MARTIAL SUR NÉ|Lieu de visite
80480|2013-05873|Meublé de tourisme|Tourisme et Handicap|M. et Mme Gouionnet|gouionnet.didier@neuf.fr|http://www.le-gite-du-grand-mondain.fr|0546041314 ; 0682008810||auditif ; mental ; moteur ; visuel|17360|Le Grand Mondain|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT MARTIN DE COUX|Meublé de tourisme
80481|2013-05874|Musée Ernest Cognacq|Tourisme et Handicap|Mme Julia Dumoulin-Rulie|musee.st.martin@wanadoo.fr|http://www.saint-martin-de-re.fr|546092122|546097560|auditif ; mental ; moteur|17410|13 avenue Victor Bouthillier|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT MARTIN DE RE|Lieu de visite
80482|2013-05875|Office de Tourisme Destination Ile de ré - Bureau d'Information Touristique de Saint Martin de Ré|Tourisme et Handicap|M. Patrice Dechelette|contact@saint-martin-de-re.net ou direction@saint-martin-de-re.net|http://www.saint-martin-de-re.net|546092006|546090618|auditif ; mental ; moteur ; visuel|17410|Avenue Victor Bouthillier|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT MARTIN DE RE|Office de tourisme
80483|2013-05876|Camping A La Ferme Domaine des Vignères|Tourisme et Handicap|Mme Florence Bouffard|roulottedeninon@aliceadsl.fr|http://www.domaine-des-vigneres.com|0546045991/0688364197||auditif ; mental ; moteur|17500|8 rue Le Colas|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT MAURICE-DE-TAVERNOLE|Camping
80484|2013-05877|Centre d'Hébergement La Fontaine Lupin|Tourisme et Handicap|M. Robert Chatelier|leo.fontaine-lupin@wanadoo.fr|http://www.fontainelupin.com|546823815|546826217|mental ; moteur|17780|La Fontaine Lupin|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT NAZAIRE SUR CHARENTE|Hébergement collectif
80485|2013-05878|Meublé de tourisme Coté Jardin|Tourisme et Handicap|M. et Mme Cariou|contact@leclosdespalmiers.com|http://www.leclosdespalmiers.com|546689952||auditif ; mental ; visuel|17230|2 rue du beurre|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT OUEN D'AUNIS|Meublé de tourisme
80486|2013-05879|Meublé de tourisme Tendance|Tourisme et Handicap|M. et Mme Cariou|contact@leclosdespalmiers.com|http://www.leclosdespalmiers.com|546689952||auditif ; mental ; moteur ; visuel|17230|2 rue du beurre|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT OUEN D'AUNIS|Meublé de tourisme
80487|2013-05880|Meublé de Tourisme La Terre des Hérauds|Tourisme et Handicap|Mme Isabelle Laurent|isa17.laurent@orange.fr||622095436||auditif ; mental ; moteur ; visuel|17210|La Terre des Hérauds|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT-PALAIS-DE-NEGRIGNAC|Meublé de tourisme
80488|2013-05881|Chambres d'Hôtes Le Clos des Romarins|Tourisme et Handicap|M. et Mme Denis|richard.denis881@wanadoo.fr|http://www.le-clos-des-romarins.com|546234234||auditif ; mental ; visuel|17420|11 rue des Romarins|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PALAIS SUR MER|Chambre d'hôtes
80489|2013-05882|Meublé de Tourisme La Campagne|Tourisme et Handicap|M. et Mme Bariteau|giteslarevetizon@gmail.com||546279093|546279093|auditif ; mental|17700|27 rue de la Mairie|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'AMILLY|Meublé de tourisme
80490|2013-05883|Meublé de Tourisme Le Puits|Tourisme et Handicap|M. et Mme Bariteau|giteslarevetizon@gmail.com||546279093|546279093|auditif ; mental|17700|27 rue de la Mairie|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'AMILLY|Meublé de tourisme
80491|2013-05884|Chambres d'hôtes l'Olivier et Au calme des Figuiers|Tourisme et Handicap|Mme Pin|mlpin@free.fr|http://www.au-calme-des-figuiers.fr|678908409|516849490|auditif ; mental ; moteur ; visuel|17310|39 avenue de Bonnemie|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'OLÉRON|Chambre d'hôtes
80492|2013-05885|Chambres d'Hôtes La Menounière|Tourisme et Handicap|Mme Micheline Denieau|denieau.jean-pierre@wanadoo.fr|http://perso.wanadoo.fr/denieau-gites/|546471434|546360315|auditif ; moteur|17310|20 rue de la Légère La Menounière|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'OLÉRON|Chambre d'hôtes
80494|2013-05887|Meublé de Tourisme La Menounière|Tourisme et Handicap|Mme Micheline Denieau|deniau.jean-pierre@wanadoo.fr|http://perso.wanadoo.fr/denieau-gites|546471434|546360315|auditif ; mental ; moteur|17310|3 rue du Centre|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'OLÉRON|Meublé de tourisme
80495|2013-05888|Musée de l'Ile d'Oléron|Tourisme et Handicap|M. Le Président de la Communauté de Communes de l'Ile d'Oléron|musee@saint-pierre-oleron.com||546750516|546750516|auditif ; mental ; moteur ; visuel|17310|9 Place Gambetta|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'OLÉRON|Lieu de visite
80496|2013-05889|Office de Tourisme Ile d'Oléron Bassin de Marennes - Bureau de Saint Pierre d'Oléron|Tourisme et Handicap|Mme Thiou|office-tourisme-saint-pierre-oleron@wanadoo.fr|http://www.saint-pierre-oleron-tourisme.fr|546471139|546471041|auditif ; mental ; moteur ; visuel|17130|Place Gambetta|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'OLÉRON|Office de tourisme
80497|2013-05890|Office de Tourisme Ile d'Oléron Bassin de Marennes - bureau de la Cotinière|Tourisme et Handicap|Mme Thiou|st-pierre-oleron-tourisme@marennes-oleron.com|http://www.saint-pierre-oleron-tourisme.fr|546470908|546471041|auditif ; mental ; moteur ; visuel|17130|Rue du Port La Cotinière|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT PIERRE D'OLÉRON|Office de tourisme
80499|2013-05892|Chambres d'Hôtes Senathe (2)|Tourisme et Handicap|Mme Foucher|dominique.pillon@sfr.fr|http://www.pillon-foucher.fr|0546969539/066869071||auditif ; mental ; moteur ; visuel|17600|11 A rue de Malleville|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT ROMAIN DE BENET|Chambre d'hôtes
80500|2013-05893|Meublé La Grange des Platanes|Tourisme et Handicap|M. et Mme Jarriault|resa.gites17@orange.fr|http://www.gites-de-France-atlantique.com|546506363|546505446|auditif ; mental ; moteur|17600|21 rue de la Seignerie|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT SORNIN|Meublé de tourisme
80502|2013-05895|Meublé Le Gite du Marais|Tourisme et Handicap|M. et Mme Vacher|jean-louis.vacher@motteaubert.com|http://www.motteaubert.com|546518822|546518822|auditif ; mental|17700|La Motte Aubert|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT SATURNIN DU BOIS|Meublé de tourisme
80503|2013-05896|Meublé La Maison des Randonneurs|Tourisme et Handicap|M. et Mme Vacher||http://www.motteaubert.com|546518822|546518822|auditif ; mental ; moteur ; visuel|17700|La Motte Aubert|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT SATURNIN DU BOIS|Meublé de tourisme
80504|2013-05897|Meublé Le Logis de la Mer|Tourisme et Handicap|M. et Mme Vacher||http://www.motteaubert.com|546518822|546518822|auditif ; mental|17700|La Motte Aubert|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT SATURNIN DU BOIS|Meublé de tourisme
80505|2013-05898|Camping de l'Ile aux Loisirs|Tourisme et Handicap|M. et Mme Boudoux|contact@ileauxloisirs.com|http://www.ileauxloisirs.com|546903511|546916506|auditif ; mental|17350|102 route de Saint Savinien Le Mung|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT SAVINIEN SUR CHARENTE|Camping
80506|2013-05899|Pôle Nature de Vitrezay|Tourisme et Handicap|M. le Président du Conseil Général de Charente Maritime|vitrezay@wanadoo.fr|http://www.poles-nature-en-charente-maritime.com|546498989|546498996|auditif ; mental ; moteur ; visuel|17150|Port Vitrezay|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT SORLIN DE CONAC|Sport de nature
80507|2013-05900|Restaurant Le Vitrezay|Tourisme et Handicap|M. Baudet|levitrezay@haute-saintonge.com|http://www.poles-nature.en-charente-maritime.com|546864758|546861390|auditif ; mental ; moteur ; visuel|17150|Port Vitrezay|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT SORLIN DE CONAC|Restaurant
80509|2013-05902|Hôtel Les Pins|Tourisme et Handicap|M. Pascal Marie Dit Robin|hotel.les.pins@free.fr|http://www.hotel-les-pins.fr|546760707||mental ; moteur ; visuel|17370|Place du Maréchal Leclerc|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT-TROJAN|Hôtel
80510|2013-05903|Le P'tit Train de Saint Trojan|Tourisme et Handicap|M. Bargain|ecrire@le-ptit-train.com|http://www.le-ptit-train.com|546760126|546760713|auditif ; mental ; moteur|17370|Avenue du Débarquement|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT-TROJAN|
80511|2013-05904|Office de Tourisme Ile d'Oléron Bassin de Marennes - Bureau de Saint Trojan Les Bains|Tourisme et Handicap|M. Massicot|ot-st-trojan-les-bains@wanadoo.fr|http://www.st-trojan-les-bains.fr|546760086|546761764|auditif ; mental ; moteur ; visuel|17370|Carrefour du Port|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT-TROJAN|Office de tourisme
80512|2013-05905|Restaurant Le Buffet de la Gare|Tourisme et Handicap|M. Bargain|ecrire@le-ptit-train.com|http://www.le-ptit-train.com|546761076|546760713|auditif ; mental ; moteur ; visuel|17370|Avenue du Débarquement|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINT-TROJAN|Restaurant
80518|2013-05911|Hôtel Les Vignes de la Chapelle****|Tourisme et Handicap|M. Stéphane Héraudeau|hotel@lesvignesdelachapelle.com|http://www.lesvignesdelachapelle.com|546302030||auditif ; mental ; moteur ; visuel|17740|5 rue de la Manne|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINTE MARIE DE RE|Hôtel
80519|2013-05912|Hôtel P'tit Déj Hôtel Ile de Ré|Tourisme et Handicap|M. Stéphane Héraudeau|hotel@ptitdej-hotel-iledere.com|http://www.ptitdej-hotel-iledere.com|546303320|546303321|auditif ; mental ; moteur ; visuel|17740|12 rue de la Terre Rouge|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINTE MARIE DE RE|Hôtel
80520|2013-05913|Office de Tourisme Destination Ile de Ré - Bureau d'Information Touristique de Sainte Marie de Ré|Tourisme et Handicap|M. Petit|tourisme@saintemariedere.com|http://www.sainte-marie-de-re.com|546302292|546300168|auditif ; mental ; moteur ; visuel|17740|Place d'Antioche|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINTE MARIE DE RE|Office de tourisme
80521|2013-05914|Chambre d'hôtes La Rochelle Lodge|Tourisme et Handicap|M. Colin|eric.colin@larochellelodge.fr|http://www.larochellelodge.fr|0546277292 ; 0689906135||auditif ; mental ; moteur ; visuel|17220|26 rue de l'Aquitaine Usseau|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINTE SOULLE|Chambre d'hôtes
80522|2013-05915|Office de Tourisme de Saintes et de la Saintonge|Tourisme et Handicap|Mme Marie Laure Rouger|accueil@saintes-tourisme.fr||546742382|546921701|auditif ; mental ; moteur ; visuel|17103|Place Bassompierre|Nouvelle Aquitaine|CHARENTE-MARITIME|SAINTES|Office de tourisme
80524|2013-05917|Hôtel Restaurant Le Commerce|Tourisme et Handicap|M. et Mme. Borg|hotellecommercesaujon@sfr.fr|http://hotel-saujon.com|0546028050 ou 0676241142||auditif ; mental ; moteur ; visuel|17600|7 rue de Saintonge|Nouvelle Aquitaine|CHARENTE-MARITIME|SAUJON|Hôtel
80525|2013-05918|Meublé Rose Trémière|Tourisme et Handicap|M. Lumineau|welcomehome@wanadoo.fr|http://www.vacances17.com|662480237||auditif ; mental|17600|7 bd Pasteur|Nouvelle Aquitaine|CHARENTE-MARITIME|SAUJON|Meublé de tourisme
80526|2013-05919|Office de Tourisme Rochefort Océan - Bureau de Soubise|Tourisme et Handicap|M. Robert Chatelier|maisondutourisme@cc-surcharente.fr||546842429|546842429|auditif ; mental ; moteur ; visuel|17780|Place de Verdun|Nouvelle Aquitaine|CHARENTE-MARITIME|SOUBISE|Office de tourisme
80528|2013-05921|Meublé de Tourisme La Fermette|Tourisme et Handicap|M. et Mme Jourdain|info@lesgrandeschaumes.com|http://www.lesgrandeschaumes.com|546070628||auditif ; mental|17700|6 rue des Chenes - Les Grandes Chaumes|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80529|2013-05922|Meublé de Tourisme La Grange|Tourisme et Handicap|M. et Mme Jourdain||http://www.lesgrandeschaumes.com|0546070628 ; 0682253528||auditif ; mental ; moteur ; visuel|17700|Les Grandes Chaumes|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80530|2013-05923|Meublé de Tourisme Le Relais|Tourisme et Handicap|Mme Jourdain|info@lesgrandeschaumes.com|http://www.lesgrandeschaumes.com|0546070628 ; 0682253528||auditif ; mental|17700|22 route des Diligences Les Grandes Chaumes|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80531|2013-05924|Meublé de Tourisme Le Nid|Tourisme et Handicap|Mme Jourdain|info@lesgrandeschaumes.com|http://www.lesgrandeschaumes.com|0546070628 ; 0682253528||auditif ; mental|17700|22 bis Route des Diligences Les Grandes Chaumes|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80532|2013-05925|Meublé de Tourisme La Grange|Tourisme et Handicap|M.Tapsall|simon.tapsall@wanadoo.fr|http://www.lecolombier-gites.com|546077104||auditif ; mental|17700|Le Colombier - Route de Pere|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80533|2013-05926|Meublé de Tourisme La Maisonnette|Tourisme et Handicap|M et Mme Tapsall||http://www.lecolombier-gites.com|0546077104/0622701053||auditif ; mental|17700|Le Colombier Route de Péré|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80534|2013-05927|Meublé de Tourisme L'Ecurie|Tourisme et Handicap|M et Mme Tapsall||http://www.lecolombier-gites.com|0546077104/0622701053||auditif ; mental|17700|Le Colombier Route de Péré|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80535|2013-05928|Meublé de Tourisme Les Hirondelles|Tourisme et Handicap|M et Mme Tapsall||http://www.lecolombier-gites.com|0546077104/0622701053||auditif ; mental|17700|Le Colombier Route de Péré|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80536|2013-05929|Meublé de Tourisme Les Rosiers|Tourisme et Handicap|M. et Mme Simon Tapsall||http://www.lecolombier-gites.com|0546077104/0622701053||auditif ; mental ; moteur ; visuel|17700|Le Colombier  Route de Péré|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Meublé de tourisme
80537|2013-05930|Office de Tourisme Aunis Marais Poitevin - Surgeres|Tourisme et Handicap|M.Vrignon|contact@aunis-maraispoitevin.com|Http://.www.aunis-maraispoitevin.com|546072002|546072030|auditif ; mental ; moteur ; visuel|17700|5 rue Bersot|Nouvelle Aquitaine|CHARENTE-MARITIME|SURGÈRES|Office de tourisme
80539|2013-05932|Office de Tourisme de Vaux sur Mer|Tourisme et Handicap|Mme Carrere|infos@ot-vauxsurmer.com|http://www.ot-vauxsurmer.com|546387905|546381146|auditif ; mental ; moteur ; visuel|17640|53 rue de Verdun|Nouvelle Aquitaine|CHARENTE-MARITIME|VAUX SUR MER|Office de tourisme
80541|2013-05934|Camping Les Etangs|Tourisme et Handicap|M. Philippe Faure|camping.aubigny@orange.fr|http://www.camping-aubigny.com|248580237|248586546|auditif ; mental|18700|Route de Oizon|Centre -  Val de Loire|CHER|AUBIGNY SUR NÈRE|Camping
80544|2013-05937|Office de Tourisme Sauldre et Sologne|Tourisme et Handicap|M. Jean-Claude Laurent|accueil@tourisme-sauldre-sologne.org|http://www.tourisme-sauldre-sologne.org|248584020|248584020|auditif ; visuel ; moteur ; mental|18700|1 rue de l'Eglise|Centre -  Val de Loire|CHER|AUBIGNY SUR NÈRE|Office de tourisme
80545|2013-05938|Gite rural n°CB01906|Tourisme et Handicap|M. Gilles Stihlé|stihlegilles@yahoo.fr|http://gite-azy.fr|248695095||auditif ; moteur|18220|1 Chemin du Verger Le Haut Fouillet|Centre -  Val de Loire|CHER|AZY|Meublé de tourisme
80546|2013-05939|Camping Municipal les Coutures|Tourisme et Handicap|M. Fregeai|mairie@bellevillesurloire.fr||248723949|248723949|auditif ; visuel ; mental|18240|Route des Coutures|Centre -  Val de Loire|CHER|BELLEVILLE SUR LOIRE|Camping
80548|2013-05941|Point d'informations Haut Berry Val de Loire|Tourisme et Handicap|Mme Rocher|accueil@tourisme-hautberryvaldeloire.fr|http://www.tourisme-hautberryvaldeloire.fr|248725496|248726529|auditif ; mental ; moteur ; visuel|18240|Route de Sancerre|Centre -  Val de Loire|CHER|BELLEVILLE SUR LOIRE|Office de tourisme
80549|2013-05942|Centre Aquatique des Presles|Tourisme et Handicap|M. Tournebize|nicolas.tournebize@bellevillesurloire.fr|http://www.bellevillesurloire.fr|248726457|248724336|auditif ; visuel ; moteur ; mental|18240|Rue Wittelsheim|Centre -  Val de Loire|CHER|BELLEVILLE SUR LOIRE|Sport de nature
80550|2013-05943|Hôtel Terre de Loire|Tourisme et Handicap|M. Frédéric Meunier|admin@terredeloire.com|http://www.terredeloire.com|0248/543030|248542686|moteur ; mental|18240|10-14 route de Beaulieu|Centre -  Val de Loire|CHER|BELLEVILLE SUR LOIRE|Hôtel
80553|2013-05946|Office de Tourisme de Bourges|Tourisme et Handicap|M. Jean-Claude Leray|accueil@bourges-tourisme.com|http://www.bourges-tourisme.com|248230260|248230269|auditif ; visuel ; moteur ; mental|18000|21 rue Victor Hugo|Centre -  Val de Loire|CHER|BOURGES|Office de tourisme
80555|2013-05948|Restaurant La Courcillière|Tourisme et Handicap|M. Denis|contact@lacourcilliere.com||248244191|248249844|auditif ; moteur|18000|Rue de Babylone|Centre -  Val de Loire|CHER|BOURGES|Restaurant
80556|2013-05949|Brasserie restaurant La Taverne de Maître Kanter|Tourisme et Handicap|Me Cassard|tourtmk@wanadoo.fr||248243607|248244426|visuel ; moteur ; mental|18000|50 rue Moyenne|Centre -  Val de Loire|CHER|BOURGES|Restaurant
80557|2013-05950|Gîte rural n CB 046-02 de la Préale|Tourisme et Handicap|Mme Gautier|berrylecherreservation@berry.fr|http://www.resinfrance.com|248480018|248480028|auditif ; moteur ; mental|18190|La Préale|Centre -  Val de Loire|CHER|CHAMBON|Meublé de tourisme
80558|2013-05951|Office de Tourisme de Châteaumeillant|Tourisme et Handicap|Mme Travers|ot.chateaumeillant@orange.fr|http://www.chateaumeillant-tourisme.com|248613989|248613889|auditif ; mental ; moteur|18370|69 rue de la Libération|Centre -  Val de Loire|CHER|CHÂTEAUMEILLANT|Office de tourisme
80559|2013-05952|Gîte d'étape et de séjour|Tourisme et Handicap|M. Pelletier|gite18190@orange.fr|http://chateauneufsurcher.com/blog/gite|248608867||moteur ; mental|18190|2 rue Brune|Centre -  Val de Loire|CHER|CHÂTEAUNEUF SUR CHER|Meublé de tourisme
80560|2013-05953|Gite de groupe Colbert ABC|Tourisme et Handicap|Mme Lemaire|gite18190@orange.fr|http://www.gitechateauneuf.fr|248608867|248608867|auditif ; mental ; visuel|18190|2 rue Brune|Centre -  Val de Loire|CHER|CHÂTEAUNEUF SUR CHER|Meublé de tourisme
80561|2013-05954|Chambres d'Hôtes La Maison de Philomène|Tourisme et Handicap|Mme Martine Blin|maisondephilomene@wanadoo.fr|http://perso.wanadoo.fr/maisondephilomene|0248262563/ 0664718941|248262531|auditif|18290|Le Grand Entrevins|Centre -  Val de Loire|CHER|CIVRAY|Chambre d'hôtes
80562|2013-05955|Chambre d'hôtes Les Coquelicots|Tourisme et Handicap|Mme Laveau|lacroixdepierre@orange.fr|http://www.la-croix-de-pierre.fr|248728816||auditif ; mental|18140|2-4 l'Omnie|Centre -  Val de Loire|CHER|COUY|Chambre d'hôtes
80564|2013-05957|Office de Tourisme des Vallées Vertes|Tourisme et Handicap|Mme Pennequin|gracay.ot@wanadoo.fr|http://www.officedetourismedevierzon.com|248512283|248512283|auditif ; mental ; moteur ; visuel|18310|4 place du Marché|Centre -  Val de Loire|CHER|GRAÇAY|Office de tourisme
80565|2013-05958|Espace Métal Halle de Grossouvre|Tourisme et Handicap|M. Rivard|halledegrossouvre@orange.fr|http://www.halledegrossouvre.fr|248770638|248770638|mental ; moteur|18600|Route de Véreaux|Centre -  Val de Loire|CHER|GROSSOUVRE|Lieu de visite
80566|2013-05959|Centre de Céramique Contemporaine La Borne|Tourisme et Handicap|M. Alain Rafesthain|contact@laborne.org||248269621|248261236|auditif ; moteur ; mental|18250|La Borne|Centre -  Val de Loire|CHER|HENRICHEMONT|
80568|2013-05961|Gite rural n°CB11099 EC|Tourisme et Handicap|M. Michel Roger|francoise.roger3@wanadoo.fr||248795404|248794485|auditif ; mental|18400|20 Place du Champ de Foire|Centre -  Val de Loire|CHER|HERRY|Meublé de tourisme
80573|2013-05966|Camping Municipal Robinson|Tourisme et Handicap|M. Pierre Ducastel|mairie.laguerche@wanadoo.fr||0248741886 (camping)/ 0248775353 (mairie)|0248775359 (mairie)|auditif|18150|2 rue de Couvache|Centre -  Val de Loire|CHER|GUERCHE-SUR-L'AUBOIS (LA)|Camping
80574|2013-05967|Gîte d'Etape et de séjour Chopin|Tourisme et Handicap|M. Bernard Aujard|gite.lazenay@wanadoo.fr||248517390|248517539|moteur ; mental|18120|Le Bourg|Centre -  Val de Loire|CHER|LAZENAY|Meublé de tourisme
80575|2013-05968|Musée de la Poterie des Archers|Tourisme et Handicap|M. Jamet|museedesarchers@orange.fr||248562935|248562935|auditif ; visuel ; moteur ; mental|18170||Centre -  Val de Loire|CHER|CHATELET (LE)|Lieu de visite
80576|2013-05969|Hôtel restaurant Novotel|Tourisme et Handicap|M. Alexis Nicolas|h1302@accor.com|http://www.accor.com|248265333|248265222|moteur|18570|Route de Châteauroux|Centre -  Val de Loire|CHER|SUBDRAY (LE)|Hôtel
80577|2013-05970|Office de Tourisme de Lignières en Berry|Tourisme et Handicap|Mme|accueil@lignieresenberry-tourisme.fr|http://www.lignieres.free.fr|248602041|248602041|auditif ; mental ; moteur|18160|32 Grande Rue|Centre -  Val de Loire|CHER|LIGNIÈRES|Office de tourisme
80578|2013-05971|PRL Village des Roulottes du Berry|Tourisme et Handicap|M. Alain Rafesthain|roulottesduberry@orange.fr|http://www.roulottesduberry.com|248566991|248602450|auditif ; mental|18160|Route de La Celle Condé|Centre -  Val de Loire|CHER|LIGNIÈRES|Camping
80579|2013-05972|Pôle de la Porcelaine|Tourisme et Handicap|Mme Sylvie Bocq|pole-de-la-porcelaine@wanadoo.fr||248570619|245573033|moteur ; mental|18500|Rue des Grands Moulins|Centre -  Val de Loire|CHER|MEHUN SUR YÈVRE|Lieu de visite
80580|2013-05973|Office de Tourisme de Mehun sur Yèvre|Tourisme et Handicap|M.Salak|contact@tourisme-mehun.com|http://www.tourisme-mehun.com|248573551|248571340|auditif ; mental ; moteur ; visuel|18500|Place du 14 Juillet|Centre -  Val de Loire|CHER|MEHUN SUR YÈVRE|Office de tourisme
80581|2013-05974|Château de Menetou-Couture|Tourisme et Handicap|M. Claude Dintrans|dintrans@club-internet.fr||0248803508/0145480211|0248802508/0142229236|mental|18320|Place du Donjon|Centre -  Val de Loire|CHER|MENETOU-COUTURE|Lieu de visite
80582|2013-05975|Meublé de tourisme n°MT156.01|Tourisme et Handicap|Mme Martin|joelle.martin18@gmail.com||248269345||auditif ; mental|18220|12 chemin de Bellevue|Centre -  Val de Loire|CHER|MOROGUES|Meublé de tourisme
80583|2013-05976|Auberge des Pellets|Tourisme et Handicap|M. Patrice Thirot|aubergedespellets@outlook.fr|http://www.auberge-des-pellets.fr|248269068||auditif ; mental|18220|Les Pellets|Centre -  Val de Loire|CHER|MOROGUES|Restaurant
80584|2013-05977|Pôle des Etoiles|Tourisme et Handicap|M.Rivard|contact@poledesetoiles.fr|http://www.poledesetoiles.fr|248511818|248511813|mental ; moteur|18330|Route de Souesmes|Centre -  Val de Loire|CHER|NANÇAY|Lieu de visite
80585|2013-05978|Office de Tourisme des Villages de la Forêt|Tourisme et Handicap|Mme Hennequin|accueil@nancay-sologne-tourisme.fr|http://www.nancay-sologne-tourisme.fr|248518031|248518032|auditif ; mental ; moteur ; visuel|18330|5 rue du Château|Centre -  Val de Loire|CHER|NANÇAY|Office de tourisme
80588|2013-05981|Restaurant Bir Hakeim-Fédération Nationale André Maginot|Tourisme et Handicap|M. Lledos||http://www.grande-garenne.com|248526400|248526402|visuel ; moteur ; mental|18330|Domaine de la Grande Garenne|Centre -  Val de Loire|CHER|NEUVY SUR BARANGEON|Restaurant
80589|2013-05982|Théâtre Saint Exupéry de la Fédération André Maginot|Tourisme et Handicap|M. Lledos||http://www.grande-garenne.com|248526400|248526402|visuel ; moteur ; mental|18330|Domaine de la Grande Garenne|Centre -  Val de Loire|CHER|NEUVY SUR BARANGEON|
80591|2013-05984|Chambres d'hôtes Stuart Lodge|Tourisme et Handicap|M. Bernard Collin|dagguie@yahoo.com|http://hebergement-sologne-blogspot.com|248580927||auditif|18700|La Licorderie|Centre -  Val de Loire|CHER|OIZON|Chambre d'hôtes
80592|2013-05985|Restaurant La Maison d'Hélène|Tourisme et Handicap|M. Béraud de Vogue|laverrerie@wanadoo.fr|http://www.chateaux-France.com/verrerie/fr|248815160|248582125|mental|18700|La Verrerie|Centre -  Val de Loire|CHER|OIZON|Restaurant
80594|2013-05987|Restaurant Aux Marais|Tourisme et Handicap|M. Stéphane Pasquier|auxmarais@aol.com||248255445|248255910|auditif ; mental|18340|12 rue des Marais|Centre -  Val de Loire|CHER|PLAIMPIED-GIVAUDINS|Restaurant
80595|2013-05988|Ferme pédagogique SCEA GERY|Tourisme et Handicap|M. Gery|d.gery@wanadoo.fr|http://www.travailcoquin.com|248262158|248268843|mental|18290|Domaine du Travail Coquin|Centre -  Val de Loire|CHER|PLOU|Lieu de visite
